Рейтинг выгоды,Эффективный курс (RUB/USD),Курс (RUB/INR),Номинал (INR),Номинал эквивалент (USD),Цена со скидкой (RUB),Базовая цена (RUB),Тип скидки,Название товара,Рейтинг,ID Магазина,Ссылка
1,80.47,0.8400,250.0,2.61,210.0,508.0,alfaBank,"Подарочная карта Apple App Store & iTunes, 250 INR, Индийских рупий, оригинальный код, Индия",4.8,216778492,https://market.yandex.ru/product/5680749340
2,81.90,0.8550,200.0,2.09,171.0,410.0,alfaBank,"Подарочная карта Apple App Store & iTunes, 200 INR, Индийских рупий, оригинальный код, Индия",4.8,216778492,https://market.yandex.ru/product/5680749340
3,82.38,0.8600,100.0,1.04,86.0,205.0,alfaBank,"Подарочная карта Apple App Store & iTunes, 100 INR, Индийских рупий, оригинальный код, Индия",4.8,216778492,https://market.yandex.ru/product/5680749340
4,83.92,0.8760,500.0,5.22,438.0,1025.0,alfaBank,"Подарочная карта Apple App Store & iTunes, 500 INR, Индийских рупий, оригинальный код, Индия",4.8,216778492,https://market.yandex.ru/product/5680749340
5,84.68,0.8840,250.0,2.61,221.0,348.0,alfaBank,Apple Индия 250 INR пополнение баланса / App Store & iTunes India 250 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
6,84.78,0.8850,200.0,2.09,177.0,279.0,alfaBank,Apple Индия 200 INR пополнение баланса / App Store & iTunes India 200 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
7,85.26,0.8900,100.0,1.04,89.0,125.0,alfaBank,Подарочная карта Apple 100 INR / Пополнение App Store & iTunes на 100 рупий / цифровой код / мгновенная выдача,5.0,204056393,https://market.yandex.ru/product/5824544463
8,86.21,0.9000,100.0,1.04,90.0,140.0,alfaBank,Apple Индия 100 INR пополнение баланса / App Store & iTunes India 100 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
9,86.21,0.9000,250.0,2.61,225.0,380.0,alfaBank,"Apple Подарочная карта на 250 INR (Индия/IN, цифровой код)",4.9,216734987,https://market.yandex.ru/product/5703215743
10,86.98,0.9080,250.0,2.61,227.0,321.0,alfaBank,"Подарочная карта Apple App Store на 250 INR (рупия Индия), подарочная карта Эпл, Apple Gift Card iTunes",N/A,43342480,https://market.yandex.ru/product/6138481910
11,86.98,0.9080,250.0,2.61,227.0,403.0,alfaBank,"Подарочная карта App Store & iTunes 250 INR (рупии) регион Индия, пополнение баланса, цифровой код активации",4.6,216679128,https://market.yandex.ru/product/5652834599
12,87.17,0.9100,100.0,1.04,91.0,154.0,alfaBank,"Apple Подарочная карта на 100 INR (Индия/IN, цифровой код)",4.9,216734987,https://market.yandex.ru/product/5703215743
13,87.17,0.9100,100.0,1.04,91.0,161.0,alfaBank,"Подарочная карта App Store & iTunes 100 INR (рупии) регион Индия, пополнение баланса, цифровой код активации",4.6,216679128,https://market.yandex.ru/product/5652834599
14,87.17,0.9100,200.0,2.09,182.0,307.0,alfaBank,"Apple Подарочная карта на 200 INR (Индия/IN, цифровой код)",4.9,216734987,https://market.yandex.ru/product/5703215743
15,87.17,0.9100,200.0,2.09,182.0,533.0,alfaBank,Подарочная карта Apple 200 INR | Пополнение Apple ID Индия | App Store & iTunes | Apple Gift Card,4.8,216920557,https://market.yandex.ru/product/5956051579
16,87.36,0.9120,500.0,5.22,456.0,697.0,alfaBank,Apple Индия 500 INR пополнение баланса / App Store & iTunes India 500 INR цифровой код / Apple ID Gift Card,5.0,216787513,https://market.yandex.ru/product/5782608507
17,88.13,0.9200,100.0,1.04,92.0,130.0,alfaBank,"Подарочная карта Apple App Store на 100 INR (рупия Индия), подарочная карта Эпл, Apple Gift Card iTunes",N/A,43342480,https://market.yandex.ru/product/6138481910
18,88.13,0.9200,100.0,1.04,92.0,249.0,alfaBank,Подарочная карта Apple 100 INR | Пополнение Apple ID Индия | App Store & iTunes | Apple Gift Card,4.8,216920557,https://market.yandex.ru/product/5956051579
19,88.13,0.9200,200.0,2.09,184.0,260.0,alfaBank,"Подарочная карта Apple App Store на 200 INR (рупия Индия), подарочная карта Эпл, Apple Gift Card iTunes",N/A,43342480,https://market.yandex.ru/product/6138481910
20,89.57,0.9350,200.0,2.09,187.0,369.0,alfaBank,Подарочная карта App Store & iTunes Code (Apple ID) на 200 Индийских рупий | Индия | Оригинальный код,4.6,212664758,https://market.yandex.ru/product/1160990588
21,89.66,0.9360,250.0,2.61,234.0,462.0,alfaBank,Подарочная карта App Store & iTunes Code (Apple ID) на 250 Индийских рупий | Индия | Оригинальный код,4.6,212664758,https://market.yandex.ru/product/1160990588
22,90.43,0.9440,250.0,2.61,236.0,469.0,alfaBank,"Подарочная карта Apple Индия 250 рупий (INR) | пополнение Apple ID, Itunes, Appstore | Цифровой код",5.0,216970832,https://market.yandex.ru/product/5742967389
23,90.81,0.9480,250.0,2.61,237.0,409.0,alfaBank,Карта пополнения App Store 250 INR Индия | Цифровой код,4.7,216877993,https://market.yandex.ru/product/5868519520
24,91.00,0.9500,100.0,1.04,95.0,140.0,alfaBank,"Подарочная карта Apple, пополнение счета App Store, iTunes, 100 INR, Индия",4.6,83799497,https://market.yandex.ru/product/5198634229
25,91.00,0.9500,100.0,1.04,95.0,187.0,alfaBank,Подарочная карта App Store & iTunes Code (Apple ID) на 100 Индийских рупий | Индия | Оригинальный код,4.6,216537973,https://market.yandex.ru/product/1160990588
26,91.20,0.9520,250.0,2.61,238.0,350.0,alfaBank,"Подарочная карта Apple, пополнение счета App Store, iTunes, 250 INR, Индия",4.6,83799497,https://market.yandex.ru/product/5144655495
27,91.48,0.9550,200.0,2.09,191.0,379.0,alfaBank,"Подарочная карта Apple Индия 200 рупий (INR) | пополнение Apple ID, Itunes, Appstore | Цифровой код",5.0,216970832,https://market.yandex.ru/product/5742967389
